county,make,model_year,vehicle_count
Island,MINI,2021,7
Island,MINI,2022,2
Island,MITSUBISHI,2012,29
Island,MITSUBISHI,2014,3
Island,MITSUBISHI,2018,16
Island,MITSUBISHI,2019,4
Island,MITSUBISHI,2020,2
Island,NISSAN,2011,105
Island,NISSAN,2012,52
Island,NISSAN,2013,240
Island,NISSAN,2014,70
Island,NISSAN,2015,112
Island,NISSAN,2016,103
Island,NISSAN,2017,53
Island,NISSAN,2018,53
Island,NISSAN,2019,50
Island,NISSAN,2020,14
Island,NISSAN,2021,6
Island,PORSCHE,2015,2
Island,PORSCHE,2019,5
Island,PORSCHE,2020,2
Island,SMART,2013,2
Island,SMART,2014,1
Island,SMART,2015,17
Island,TESLA,2008,5
Island,TESLA,2010,4
Island,TESLA,2011,5
Island,TESLA,2012,26
Island,TESLA,2013,111
Island,TESLA,2014,38
Island,TESLA,2015,155
Island,TESLA,2016,97
Island,TESLA,2017,85
Island,TESLA,2018,365
Island,TESLA,2019,143
Island,TESLA,2020,193
Island,TESLA,2021,110
Island,TOYOTA,2012,76
Island,TOYOTA,2013,46
Island,TOYOTA,2015,6
Island,TOYOTA,2017,74
Island,TOYOTA,2018,74
Island,TOYOTA,2020,10
Island,TOYOTA,2021,8
Island,VOLKSWAGEN,2015,18
Island,VOLKSWAGEN,2016,8
Island,VOLKSWAGEN,2019,18
Island,VOLKSWAGEN,2021,4
Island,VOLVO,2016,7
Island,VOLVO,2017,9
Island,VOLVO,2018,10
Island,VOLVO,2019,5
Island,VOLVO,2021,2
King,AUDI,2016,970
King,AUDI,2017,783
King,AUDI,2018,511
King,AUDI,2019,849
King,AUDI,2020,363
King,AUDI,2021,426
King,AZURE DYNAMICS,2011,38
King,AZURE DYNAMICS,2012,7
King,BMW,2014,3331
King,BMW,2015,2383
King,BMW,2016,1821
King,BMW,2017,2751
King,BMW,2018,1771
King,BMW,2019,616
King,BMW,2020,240
King,BMW,2021,504
King,CADILLAC,2014,235
King,CADILLAC,2016,54
King,CADILLAC,2017,14
King,CADILLAC,2018,26
King,CHEVROLET,1997,19
King,CHEVROLET,1998,9
King,CHEVROLET,2011,423
King,CHEVROLET,2012,2411
King,CHEVROLET,2013,3884
King,CHEVROLET,2014,2647
King,CHEVROLET,2015,1060
King,CHEVROLET,2016,473
King,CHEVROLET,2017,7428
King,CHEVROLET,2018,2523
King,CHEVROLET,2019,2003
King,CHEVROLET,2020,1137
King,CHEVROLET,2021,200
King,CHRYSLER,2017,245
King,CHRYSLER,2018,1241
King,CHRYSLER,2019,226
King,CHRYSLER,2020,313
King,CHRYSLER,2021,166
King,DODGE,1994,3
King,FIAT,2013,590
King,FIAT,2014,452
King,FIAT,2015,881
King,FIAT,2016,294
King,FIAT,2017,228
King,FIAT,2018,2
King,FIAT,2019,4
King,FISKER,2012,157
King,FORD,1999,11
King,FORD,2000,62
King,FORD,2001,14
King,FORD,2012,90
King,FORD,2013,3730
King,FORD,2014,2850
King,FORD,2015,1945
King,FORD,2016,2272
King,FORD,2017,1368
King,FORD,2018,269
King,FORD,2019,148
King,FORD,2020,58
King,FORD,2021,299
King,HONDA,2014,33
King,HONDA,2017,1
King,HONDA,2018,1267
King,HONDA,2019,95
King,HONDA,2020,69
King,HONDA,2021,2
King,HYUNDAI,2016,2249
King,HYUNDAI,2017,114
King,HYUNDAI,2018,9
King,HYUNDAI,2019,106
King,HYUNDAI,2020,243
King,HYUNDAI,2021,82
King,JAGUAR,2019,276
King,JAGUAR,2020,108
King,JEEP,2021,46
King,KIA,2015,70
King,KIA,2016,2062
King,KIA,2017,3361
King,KIA,2018,923
King,KIA,2019,1769
King,KIA,2020,474
King,KIA,2021,2
King,LAND ROVER,2020,77
King,LAND ROVER,2021,9
King,LINCOLN,2020,20
King,MERCEDES-BENZ,2014,184
King,MERCEDES-BENZ,2015,163
King,MERCEDES-BENZ,2016,97
King,MERCEDES-BENZ,2017,83
King,MERCEDES-BENZ,2018,86
King,MERCEDES-BENZ,2019,155
King,MERCEDES-BENZ,2020,47
King,MINI,2018,177
King,MINI,2019,250
King,MINI,2020,6
King,MINI,2021,175
King,MINI,2022,12
King,MITSUBISHI,2012,289
King,MITSUBISHI,2014,65
King,MITSUBISHI,2016,51
King,MITSUBISHI,2018,376
King,MITSUBISHI,2019,145
King,MITSUBISHI,2020,50
King,NISSAN,2011,6558
King,NISSAN,2012,4571
King,NISSAN,2013,13331
King,NISSAN,2014,3870
King,NISSAN,2015,11865
King,NISSAN,2016,6996
King,NISSAN,2017,4953
King,NISSAN,2018,3922
King,NISSAN,2019,2663
King,NISSAN,2020,662
King,NISSAN,2021,230
King,POLESTAR,2021,16
King,PORSCHE,2014,56
King,PORSCHE,2015,126
King,PORSCHE,2016,312
King,PORSCHE,2017,206
King,PORSCHE,2018,142
King,PORSCHE,2019,119
King,PORSCHE,2020,184
King,PORSCHE,2021,62
King,SMART,2011,2
King,SMART,2013,96
King,SMART,2014,313
King,SMART,2015,173
King,SMART,2016,62
King,SMART,2017,53
King,SMART,2018,49
King,SMART,2019,3
King,SUBARU,2019,74
King,TESLA,2008,228
King,TESLA,2010,304
King,TESLA,2011,106
King,TESLA,2012,1215
King,TESLA,2013,6276
King,TESLA,2014,4422
King,TESLA,2015,5758
King,TESLA,2016,7342
King,TESLA,2017,6046
King,TESLA,2018,24453
King,TESLA,2019,11363
King,TESLA,2020,12444
King,TESLA,2021,5755
King,TH!NK,2011,8
King,TOYOTA,2002,16
King,TOYOTA,2003,3
King,TOYOTA,2012,1899
King,TOYOTA,2013,1239
King,TOYOTA,2014,663
King,TOYOTA,2015,275
King,TOYOTA,2017,1927
King,TOYOTA,2018,1230
King,TOYOTA,2019,144
King,TOYOTA,2020,249
King,TOYOTA,2021,187
King,VOLKSWAGEN,2015,426
King,VOLKSWAGEN,2016,756
King,VOLKSWAGEN,2017,66
King,VOLKSWAGEN,2018,88
King,VOLKSWAGEN,2019,1105
King,VOLKSWAGEN,2021,46
King,VOLVO,2016,543
King,VOLVO,2017,483
King,VOLVO,2018,701
King,VOLVO,2019,490
King,VOLVO,2021,44
King,WHEEGO ELECTRIC CARS,2011,19
Kitsap,AUDI,2016,72
Kitsap,AUDI,2017,38
Kitsap,AUDI,2018,25
Kitsap,AUDI,2019,45
Kitsap,AUDI,2020,26
Kitsap,AUDI,2021,28
Kitsap,AZURE DYNAMICS,2012,8
Kitsap,BMW,2014,116
Kitsap,BMW,2015,75
