county,make,quartile,model_year,vehicle_count
Benton,TOYOTA,1,2014,7
Benton,TOYOTA,1,2017,31
Benton,TOYOTA,1,2018,6
Benton,TOYOTA,1,2019,2
Benton,TOYOTA,1,2020,3
Benton,TOYOTA,1,2021,6
Benton,TOYOTA,2,2012,21
Benton,TOYOTA,2,2013,1
Benton,TOYOTA,2,2014,2
Benton,TOYOTA,2,2017,21
Benton,TOYOTA,2,2018,3
Benton,TOYOTA,2,2019,8
Benton,TOYOTA,2,2020,3
Benton,TOYOTA,2,2021,12
Benton,TOYOTA,3,2012,23
Benton,TOYOTA,3,2013,2
Benton,TOYOTA,3,2014,7
Benton,TOYOTA,3,2017,17
Benton,TOYOTA,3,2018,23
Benton,TOYOTA,3,2019,1
Benton,TOYOTA,3,2020,8
Benton,TOYOTA,4,2012,11
Benton,TOYOTA,4,2014,3
Benton,TOYOTA,4,2017,17
Benton,TOYOTA,4,2018,23
Benton,TOYOTA,4,2020,9
Benton,TOYOTA,4,2021,2
Benton,VOLKSWAGEN,1,2016,2
Benton,VOLKSWAGEN,2,2015,7
Benton,VOLKSWAGEN,2,2019,2
Benton,VOLKSWAGEN,2,2021,4
Benton,VOLKSWAGEN,3,2019,3
Benton,VOLKSWAGEN,4,2019,3
Benton,VOLVO,1,2019,2
Benton,VOLVO,3,2016,1
Benton,VOLVO,3,2017,3
Benton,VOLVO,4,2016,5
Benton,VOLVO,4,2017,5
Benton,VOLVO,4,2018,4
Benton,VOLVO,4,2019,4
Clark,AUDI,1,2016,4
Clark,AUDI,1,2017,16
Clark,AUDI,1,2018,5
Clark,AUDI,1,2019,18
Clark,AUDI,1,2020,11
Clark,AUDI,1,2021,16
Clark,AUDI,2,2016,10
Clark,AUDI,2,2017,2
Clark,AUDI,2,2018,9
Clark,AUDI,2,2019,18
Clark,AUDI,2,2020,9
Clark,AUDI,2,2021,22
Clark,AUDI,3,2016,10
Clark,AUDI,3,2017,2
Clark,AUDI,3,2018,12
Clark,AUDI,3,2019,19
Clark,AUDI,3,2020,4
Clark,AUDI,4,2016,3
Clark,AUDI,4,2017,4
Clark,AUDI,4,2018,3
Clark,AUDI,4,2019,16
Clark,AUDI,4,2020,4
Clark,AUDI,4,2021,4
Clark,BMW,1,2014,48
Clark,BMW,1,2015,51
Clark,BMW,1,2016,33
Clark,BMW,1,2017,79
Clark,BMW,1,2018,37
Clark,BMW,1,2019,13
Clark,BMW,1,2021,10
Clark,BMW,2,2014,30
Clark,BMW,2,2015,45
Clark,BMW,2,2016,38
Clark,BMW,2,2017,70
Clark,BMW,2,2018,33
Clark,BMW,2,2019,3
Clark,BMW,2,2020,4
Clark,BMW,2,2021,8
Clark,BMW,3,2014,52
Clark,BMW,3,2015,45
Clark,BMW,3,2016,73
